Lineups,GP,MIN,OffRtg,DefRtg,NetRtg,AST_PCT,REB_PCT,eFG_PCT,TS_PCT,PACE,PIE,Lineup_Type,Performance_Tier
S. Curry | D. Green | J. Kuminga | M. Moody | Q. Post,4,4,130,90,40,100,20,68.8,73.2,113.39,67.3,,
S. Curry | D. Green | K. Looney | B. Hield | B. Podziemski,1,4,150,142.9,7.1,100,62.5,55,57.5,84.37,59.1,,
S. Curry | J. Butler III | D. Green | B. Hield | G. Santos,3,4,177.8,81.8,96,100,63.6,65,70.7,126.87,85.7,,
S. Curry | J. Butler III | D. Green | B. Hield | Q. Post,5,4,91.7,66.7,25,100,33.3,70,81.4,125.22,83.9,,
S. Curry | J. Butler III | K. Looney | B. Hield | G. Santos,3,4,150,116.7,33.3,100,41.7,50,69.4,85.79,94.7,,
S. Curry | J. Butler III | K. Looney | G. Payton II | B. Podziemski,1,4,166.7,100,66.7,50,40,100,100,77.14,61.5,,
S. Curry | K. Looney | G. Payton II | M. Moody | G. Santos,3,4,87.5,85.7,1.8,0,50,33.3,35.4,99.54,27.8,,
B. Hield | J. Kuminga | P. Spencer | G. Santos | T. Jackson|Davis,1,3,66.7,150,-83.3,0,25,100,69.4,98.18,10.5,,
D. Green | B. Hield | J. Kuminga | M. Moody | B. Podziemski,1,3,83.3,100,-16.7,50,40,50,50,115.2,40,,
D. Green | B. Hield | J. Kuminga | P. Spencer | T. Jackson|Davis,1,3,133.3,0,133.3,100,60,83.3,84,93.18,314.3,,
J. Butler III | B. Hield | G. Payton II | G. Santos | Q. Post,1,3,171.4,112.5,58.9,75,75,90,94.9,104.85,65.2,,
J. Butler III | D. Green | B. Hield | M. Moody | Q. Post,2,3,83.3,100,-16.7,100,25,41.7,41.7,104.92,42.9,,
J. Butler III | G. Payton II | J. Kuminga | M. Moody | Q. Post,1,3,100,150,-50,100,50,50,64.4,76.69,50,,
J. Butler III | K. Looney | B. Hield | G. Payton II | M. Moody,2,3,160,166.7,-6.7,100,37.5,66.7,66.7,93.12,41.2,,
J. Butler III | K. Looney | B. Hield | J. Kuminga | G. Santos,1,3,71.4,60,11.4,100,50,33.3,38.3,92.41,600,,
J. Butler III | K. Looney | J. Kuminga | M. Moody | B. Podziemski,2,3,150,60,90,33.3,75,60,60,80,100,,
K. Looney | B. Hield | G. Payton II | G. Santos | B. Podziemski,2,3,200,83.3,116.7,60,37.5,92.9,94.1,94.55,100,,
K. Looney | B. Hield | P. Spencer | G. Santos | T. Jackson|Davis,1,3,142.9,57.1,85.7,75,85.7,71.4,71.4,99.8,100,,
S. Curry | B. Hield | J. Kuminga | M. Moody | T. Jackson|Davis,1,3,100,60,40,100,55.6,35.7,40.3,94.85,88.9,,
S. Curry | D. Green | B. Hield | J. Kuminga | B. Podziemski,2,3,200,175,25,50,40,62.5,75.2,75.05,60,,
S. Curry | D. Green | B. Hield | J. Kuminga | Q. Post,3,3,28.6,225,-196.4,100,0,20,20,120.67,-28.6,,
S. Curry | D. Green | B. Hield | M. Moody | Q. Post,2,3,150,80,70,75,80,66.7,65.4,99.62,92,,
S. Curry | D. Green | G. Payton II | M. Moody | B. Podziemski,2,3,200,116.7,83.3,50,85.7,56.3,64.4,86.27,67.5,,
S. Curry | D. Green | K. Looney | B. Hield | G. Payton II,1,3,83.3,160,-76.7,100,60,50,50,97.78,26.1,,
S. Curry | J. Butler III | B. Hield | G. Santos | Q. Post,1,3,142.9,100,42.9,50,80,71.4,71.4,131.71,61.1,,
S. Curry | J. Butler III | D. Green | G. Payton II | J. Kuminga,1,3,85.7,87.5,-1.8,50,42.9,50,51,108,38.5,,
S. Curry | K. Looney | G. Payton II | M. Moody | B. Podziemski,2,3,100,142.9,-42.9,50,20,60,68,108.87,37.8,,
B. Hield | K. Knox II | P. Spencer | G. Santos | T. Jackson|Davis,1,2,133.3,100,33.3,50,50,66.7,66.7,94.21,66.7,,
D. Green | B. Hield | M. Moody | B. Podziemski | Q. Post,1,2,66.7,175,-108.3,0,0,33.3,33.3,85.42,-11.1,,
D. Green | J. Kuminga | P. Spencer | M. Moody | T. Jackson|Davis,1,2,50,100,-50,100,33.3,33.3,33.3,109.57,42.9,,
J. Butler III | B. Hield | G. Payton II | J. Kuminga | G. Santos,1,2,100,66.7,33.3,100,100,150,150,79.27,33.3,,
J. Butler III | B. Hield | G. Santos | B. Podziemski | Q. Post,1,2,50,175,-125,0,60,0,20.5,83.42,-77.8,,
J. Butler III | B. Hield | J. Kuminga | M. Moody | Q. Post,1,2,50,100,-50,0,100,25,25,80.64,-133.3,,
J. Butler III | B. Hield | M. Moody | G. Santos | T. Jackson|Davis,1,2,120,120,0,100,66.7,50,59.1,129.73,63.6,,
J. Butler III | D. Green | B. Hield | G. Santos | Q. Post,1,2,50,50,0,100,66.7,25,25,115.2,80,,
J. Butler III | D. Green | G. Payton II | M. Moody | G. Santos,1,2,250,166.7,83.3,75,100,100,100,70,73,,
J. Butler III | D. Green | M. Moody | G. Santos | Q. Post,1,2,175,0,175,50,60,50,65.8,79.37,228.6,,
J. Butler III | M. Moody | G. Santos | B. Podziemski | Q. Post,1,2,166.7,0,166.7,0,50,0,94.7,79.27,-400,,
K. Knox II | P. Spencer | G. Santos | T. Jackson|Davis | J. Rowe,1,2,220,80,140,100,75,110,110,102.13,88.6,,
K. Looney | B. Hield | G. Payton II | J. Kuminga | G. Santos,1,2,125,66.7,58.3,0,66.7,20,39.6,112,53.8,,
K. Looney | B. Hield | J. Kuminga | M. Moody | B. Podziemski,1,2,50,100,-50,0,33.3,33.3,33.3,123.87,25,,
K. Looney | B. Hield | K. Knox II | P. Spencer | T. Jackson|Davis,1,2,250,50,200,100,50,125,112.6,126.59,100,,
